lesson,word,pronunciation,partOfSpeech,definition,example
2,pittance,PIT-ens,noun,a very small amount of money; a meager allowance,"The workers went on strike, saying they could no longer survive on a pittance."
2,sacrament,SAK-ruh-ment,noun,a religious ceremony regarded as sacred; a sacred pledge,Baptism and the Eucharist are the two sacraments recognized by most Protestant churches.
2,sacrilege,SAK-rih-lij,noun,violation or misuse of what is considered sacred,Defacing the ancient temple was considered an act of sacrilege by the local community.
2,sacrosanct,SAK-roh-sangkt,adjective,regarded as too important or holy to be questioned or changed,The editorial team treated the founder's original vision as sacrosanct.
2,sanctimonious,sangk-tih-MOH-nee-us,adjective,making a show of being morally superior to others; self-righteously pious,His sanctimonious lectures about healthy eating grew tiresome to his friends.
2,sanction,SANGK-shun,noun/verb,official permission or approval; a penalty for disobeying a law; to give approval,The principal sanctioned the new after-school program and helped secure its funding.
2,sanctity,SANGK-tih-tee,noun,the state of being sacred or holy; ultimate importance and inviolability,The negotiators stressed the sanctity of the ceasefire agreement.
2,sanctuary,SANGK-choo-er-ee,noun,a place of safety or refuge; a holy place,The injured bird was brought to a wildlife sanctuary to recover.
3,agnostic,ag-NOS-tik,noun/adjective,a person who believes it is impossible to know whether God exists; uncertain,"She described herself as agnostic, unwilling to claim certainty in either direction."
3,amnesty,AM-nes-tee,noun,an official pardon for people who have committed political offenses,The new government offered amnesty to all political prisoners held under the old regime.
3,arraign,uh-RAYN,verb,to call someone before a court to face criminal charges,The suspect was arraigned before the judge and entered a plea of not guilty.
3,criterion,kry-TEER-ee-un,noun,a standard or principle by which something is judged,Academic merit was the primary criterion for awarding the scholarship.
3,dogma,DOG-muh,noun,a principle or set of principles laid down as authoritative and incontrovertible,The scientist challenged accepted dogma and proposed a radical new theory of the universe.
3,dogmatic,dog-MAT-ik,adjective,inclined to lay down principles as incontrovertibly true; arrogantly asserting opinions,His dogmatic approach left no room for debate or alternative viewpoints.
3,frenetic,freh-NET-ik,adjective,fast and energetic in a wild or uncontrolled way,The frenetic pace of the trading floor made it difficult to think clearly.
3,heterodox,HET-er-oh-doks,adjective,not conforming to orthodox standards or beliefs; unorthodox,Her heterodox views on diet and exercise made her a controversial figure in medicine.
3,hypocrisy,hih-POK-ruh-see,noun,claiming to have moral standards one does not actually follow,Voters expressed outrage at the hypocrisy of a lawmaker who ignored his own legislation.
3,mnemonic,nih-MON-ik,noun/adjective,a device or technique used to aid memory,Every Good Boy Does Fine is a mnemonic for the notes on the treble clef lines.
3,physiognomy,fiz-ee-OG-nuh-mee,noun,a person's facial features considered as revealing character; the general appearance of something,The detective studied the physiognomy of every suspect who passed through the room.
3,prognosis,prog-NOH-sis,noun,a forecast of the likely outcome of a disease or situation,The doctor's prognosis gave the patient reason for cautious optimism.
3,rationale,rash-uh-NAL,noun,the logical basis for a course of action or belief,The committee asked the director to explain the rationale behind the budget cuts.
3,rationalize,RASH-uh-nuh-lyz,verb,to attempt to explain or justify behavior with logical reasons; to make rational,It is easy to rationalize a bad decision after the fact by inventing reasons.
3,schizophrenia,skit-soh-FREE-nee-uh,noun,a serious mental disorder characterized by distorted thinking and a break from reality,Treatment for schizophrenia typically combines medication with long-term therapy.
4,cognition,kog-NISH-un,noun,the mental process of acquiring knowledge through thought and experience,"The study of cognition includes memory, perception, language, and problem-solving."
4,cognizant,KOG-nih-zent,adjective,having knowledge or being aware of something,She was fully cognizant of the risks before agreeing to the experimental treatment.
4,compute,kum-PYOOT,verb,to calculate or reckon a number; to process data,The engineers had to compute the precise trajectory needed to reach the space station.
4,connoisseur,kon-uh-SUR,noun,an expert judge in matters of taste especially in the fine arts or food and drink,As a connoisseur of fine wine he could identify the vineyard from a single sip.
4,conscientious,kon-shee-EN-shus,adjective,wishing to do one's work thoroughly and correctly; governed by conscience,The conscientious editor checked every fact in the article before it went to print.
4,impute,im-PYOOT,verb,to attribute a fault or responsibility to someone; to ascribe,The report imputed the financial losses to poor management decisions over several years.
4,notorious,noh-TOR-ee-us,adjective,famous for something bad; widely known and talked of unfavorably,The notorious outlaw was captured after a three-day manhunt across the desert.
4,plebiscite,PLEB-ih-syt,noun,a direct vote by all citizens on an important political question,The government called a plebiscite to let citizens decide on the proposed constitutional changes.
4,presage,PRES-ij,noun/verb,a sign or warning of something to come; to be a sign of,Dark clouds on the horizon seemed to presage the storm that arrived that evening.
4,prescience,PREE-shee-ens,noun,the foreknowledge of events; remarkable foresight,Her prescience in investing early in renewable energy made her a very wealthy woman.
4,putative,PYOO-tuh-tiv,adjective,generally considered or reputed to be something,The putative author of the anonymous pamphlet was eventually identified by historians.
4,repute,rih-PYOOT,noun/verb,the opinion generally held of someone; to be generally considered,The professor was held in high repute by colleagues throughout the field.
4,sagacious,suh-GAY-shus,adjective,having or showing keen mental discernment and good judgment,The sagacious leader saw the coming economic crisis long before others recognized the signs.
4,sage,sayj,noun/adjective,a profoundly wise person; wise and judicious,The village elder was considered a sage whose advice was sought in every dispute.
4,sapient,SAY-pee-ent,adjective,wise; having great wisdom and sound judgment,Homo sapiens — literally 'sapient man' — is distinguished by complex reasoning.
5,acronym,AK-roh-nim,noun,a word formed from the initial letters of other words,NASA is an acronym for National Aeronautics and Space Administration.
5,alliteration,uh-lit-er-AY-shun,noun,the repetition of the same initial consonant sound in close succession,Peter Piper picked a peck of pickled peppers is a classic example of alliteration.
5,ascribe,uh-SKRYB,verb,to attribute a cause or quality to something or someone,Historians ascribe the fall of the empire to a combination of military and economic failures.
5,circumscribe,SUR-kum-skryb,verb,to restrict or limit; to draw a line around something,Company policy circumscribes what personal information employees may share with outsiders.
5,conscription,kun-SKRIP-shun,noun,compulsory military service; a draft,Conscription was introduced during the war to ensure an adequate supply of soldiers.
5,ignominious,ig-nuh-MIN-ee-us,adjective,deserving or causing public disgrace; shameful,"The team suffered an ignominious defeat, losing by thirty points on their home field."
5,literal,LIT-er-ul,adjective,taking words in their usual or primary sense; not figurative,The literal meaning of 'bonfire' is a fire of bones used in ancient rituals.
5,literate,LIT-er-it,adjective,able to read and write; knowledgeable in a specified field,"A financially literate person understands interest rates, taxes, and investment basics."
5,nomenclature,NOH-men-klay-cher,noun,a system of names used in a particular field,The nomenclature of botanical species follows a Latin binomial classification system.
5,obliterate,uh-BLIT-er-ayt,verb,to destroy utterly; to wipe out all signs of,"The bomb completely obliterated the building, leaving nothing but rubble behind."
5,onomatopoeia,on-oh-mat-oh-PEE-uh,noun,the formation of a word from the sound associated with it,"Words like buzz, hiss, and splash are examples of onomatopoeia."
5,proscribe,proh-SKRYB,verb,to forbid something by law or authority; to outlaw,The new regulation proscribed the use of certain chemicals in food production.
5,pseudonym,SYOO-doh-nim,noun,a fictitious name used especially by an author,Samuel Clemens published his famous novels under the pseudonym Mark Twain.
5,subscribe,sub-SKRYB,verb,to arrange to receive something regularly; to agree with an idea,He subscribed to the view that hard work always leads to eventual success.
5,transcribe,tran-SKRYB,verb,to put thoughts or speech into written form; to copy out,The court reporter worked quickly to transcribe every word spoken during the trial.
6,analogy,uh-NAL-oh-jee,noun,a comparison made to show a similarity between two things,The teacher used the analogy of a river to explain how electrical current flows.
6,apologist,uh-POL-oh-jist,noun,a person who defends or justifies a doctrine or institution,The prime minister's spokesperson acted as an apologist for every controversial policy.
6,choreography,kor-ee-OG-ruh-fee,noun,the sequence of steps in a dance; the planning of movements,The choreography of the finale involved forty dancers moving in perfect unison.
6,eclectic,ih-KLEK-tik,adjective,deriving ideas or style from a broad and diverse range of sources,"Her home décor was eclectic, mixing Victorian antiques with modern abstract art."
6,epigram,EP-ih-gram,noun,"a short, witty saying or poem expressing an idea cleverly",Oscar Wilde was famous for his brilliant epigrams on society and human nature.
6,epigraph,EP-ih-graf,noun,an inscription on a building or coin; a quotation at the start of a book,The epigraph at the front of the novel was a line from a Shakespeare sonnet.
6,epilogue,EP-ih-log,noun,a section at the end of a book or play that comments on what has occurred,The epilogue revealed what became of every character twenty years after the story ended.
6,eulogy,YOO-luh-jee,noun,a speech or piece of writing that praises someone who has just died,Her daughter delivered a moving eulogy that captured her mother's warmth and humor.
6,graffiti,gruh-FEE-tee,noun,unauthorized writing or drawings on public surfaces,The city hired artists to paint murals over the graffiti in the underpass.
6,graphic,GRAF-ik,adjective/noun,giving vivid detail; relating to visual art; a visual image,The graphic description of the accident left nothing to the imagination.
6,lexicon,LEK-sih-kon,noun,"the vocabulary of a person, language, or field; a dictionary",The lexicon of computing has expanded dramatically since the rise of the internet.
6,lithograph,LITH-oh-graf,noun,a print made from a flat stone or metal plate; a printing process,The museum displayed an original lithograph by the nineteenth-century master printmaker.
6,logistics,loh-JIS-tiks,noun,the detailed coordination of a complex operation,The logistics of moving an entire army across the mountain range took months to plan.
6,topography,tuh-POG-ruh-fee,noun,the arrangement of natural and artificial physical features of an area,The topography of the valley — ringed by steep cliffs — made it easy to defend.
7,affable,AF-uh-bul,adjective,"friendly, good-natured, and easy to talk to",The affable professor always had time for students who stopped by during office hours.
7,dictatorial,dik-tuh-TOR-ee-ul,adjective,of or typical of a dictator; authoritarian,The manager's dictatorial style alienated the entire team within his first month.
7,diction,DIK-shun,noun,the choice and use of words; the clarity of pronunciation,Her diction was so precise that every word carried exactly the weight she intended.
7,dictum,DIK-tum,noun,a formal pronouncement from an authoritative source; a saying,The judge issued a dictum that would set a precedent for all similar cases.
7,ditty,DIT-ee,noun,"a short, simple, cheerful song",The children learned a ditty about the days of the week to help them remember the order.
7,edict,EE-dikt,noun,an official order or decree issued by a person in authority,The emperor's edict levied a new tax on all merchants trading within the empire.
7,gloss,glos,noun/verb,a surface shine; a superficial explanation; to comment on; to conceal by false explanation,The politician tried to gloss over the scandal with carefully crafted talking points.
7,indict,in-DYT,verb,to formally charge someone with a serious crime,The grand jury voted to indict the official on three counts of fraud.
7,indite,in-DYT,verb,to compose or write in a formal style,The secretary was charged with inditing a formal letter of protest to the foreign minister.
7,ineffable,in-EF-uh-bul,adjective,too great or extreme to be expressed in words; unspeakable,Survivors of the earthquake described an ineffable sadness that lingered for years.
7,interdiction,in-ter-DIK-shun,noun,an authoritative prohibition; military action to prevent movement of enemy forces,Coast guard patrols focused on the interdiction of drug shipments entering the harbor.
7,jurisdiction,joor-is-DIK-shun,noun,the official power to make legal decisions; the extent of that authority,The case fell outside the jurisdiction of the local court and was referred to a federal judge.
7,malediction,mal-uh-DIK-shun,noun,a spoken curse; a calling down of evil on someone,The defeated king departed with a bitter malediction against those who had betrayed him.
7,polyglot,POL-ee-glot,noun/adjective,a person who knows several languages; using or containing several languages,"As a polyglot she conducted business meetings fluently in French, Mandarin, and Arabic."
7,valediction,val-ih-DIK-shun,noun,a farewell speech or statement; the act of saying goodbye,The graduating senior delivered a valediction filled with gratitude and optimism.
8,acclamation,ak-luh-MAY-shun,noun,enthusiastic approval; a vote by shouts rather than ballot,"The candidate was elected by acclamation, with no dissenting voices in the hall."
8,circumlocution,sur-kum-loh-KYOO-shun,noun,the use of many words where fewer would do; indirect expression,His answer was full of circumlocution — he spent five minutes saying almost nothing.
8,clamor,KLAM-er,noun/verb,a loud and confused noise; to make such a noise; to demand something noisily,Reporters clamored for a statement outside the courthouse after the verdict was read.
8,colloquium,kuh-LOH-kwee-um,noun,an academic conference or seminar,Researchers from twelve countries attended the annual colloquium on climate science.
8,declaim,dih-KLAYM,verb,to speak rhetorically and dramatically; to protest strongly,The senator rose to declaim against the proposed budget cuts with great passion.
8,forensic,fuh-REN-zik,adjective,of or relating to courts of law; relating to the use of science in criminal investigation,Forensic evidence from the crime scene proved critical in securing the conviction.
8,forum,FOR-um,noun,a place or meeting where public discussion takes place,The town hall served as an open forum where any resident could raise concerns.
8,lingo,LING-goh,noun,the specialized vocabulary of a particular group; a language,After a few months in the tech industry she had mastered the lingo of the startup world.
8,lingua franca,LING-gwuh FRANK-uh,noun,a common language used by speakers whose native languages differ,English has become the lingua franca of international science and business.
8,linguist,LING-gwist,noun,a person skilled in languages; a student of linguistics,The linguist documented the grammar of a nearly extinct language spoken in the highlands.
8,locution,loh-KYOO-shun,noun,"a particular word, phrase, or way of expressing something",The diplomat's careful locution left every party believing it had won the argument.
8,loquacious,loh-KWAY-shus,adjective,tending to talk a great deal; talkative,The loquacious cab driver narrated his entire life story during the ten-minute ride.
8,proverbial,pruh-VUR-bee-ul,adjective,referred to in a proverb or widely known saying; famous,She had become the proverbial fish out of water at the formal diplomatic reception.
8,verbatim,vur-BAY-tim,adverb/adjective,in exactly the same words; word for word,The witness was asked to repeat the conversation verbatim for the court reporter.
8,verbose,vur-BOHS,adjective,using more words than needed; wordy,His verbose style made even simple instructions difficult to follow.
9,apogee,AP-oh-jee,noun,the highest point in the orbit of the moon; the furthest or highest point,The satellite reached its apogee — the furthest point from Earth — after three days in orbit.
9,exhume,eks-HYOOM,verb,to dig up a buried body; to revive something forgotten,Authorities ordered the body to be exhumed so a second autopsy could be conducted.
9,geocentric,jee-oh-SEN-trik,adjective,having the Earth as the center; measured from the center of the Earth,Ptolemy's geocentric model placed Earth at the center of the universe.
9,humus,HYOO-mus,noun,the organic component of soil formed from decomposed organic matter,Adding humus to the garden beds improved the soil's fertility dramatically.
9,inter,in-TUR,verb,to place a corpse in a grave or tomb; to bury,The family gathered to inter their grandfather's ashes in the hillside cemetery.
9,mountebank,MOWN-tuh-bank,noun,a person who deceives others to get money; a charlatan,The mountebank sold fake remedies to desperate patients seeking a cure.
9,paramount,PAR-uh-mownt,adjective,more important than anything else; supreme,Patient safety is paramount in every decision made by the nursing staff.
9,pastoral,PAS-ter-ul,adjective,relating to the countryside; of a simple rural life,The painting depicted an idealized pastoral scene of rolling meadows and grazing sheep.
9,perigee,PER-ih-jee,noun,the point in the moon's orbit closest to the Earth,A supermoon occurs when the full moon coincides with the perigee of its orbit.
9,promontory,PROM-un-tor-ee,noun,a point of high land that juts out into the sea; a headland,The lighthouse was built on a rocky promontory overlooking the entrance to the bay.
9,repast,rih-PAST,noun,a meal; food for a meal,After the long hike the weary travelers sat down to enjoy a hearty repast.
9,rustic,RUS-tik,adjective/noun,"relating to the countryside; made in a simple, rough way; a person from the country",The couple chose a rustic cabin in the mountains for their honeymoon.
9,rusticate,RUS-tih-kayt,verb,to spend time in the country; to banish to the country as a punishment; to suspend from a university,The overworked executive decided to rusticate for the summer and reconnect with nature.
9,terra cotta,ter-uh KOT-uh,noun,a brownish-red unglazed ceramic material; its brownish-red color,The courtyard was lined with terra cotta pots bursting with bright flowering plants.
9,terrestrial,tuh-RES-tree-ul,adjective,relating to the Earth; living on land rather than in water or the air,"Frogs are both aquatic and terrestrial animals, comfortable in and out of water."
10,animus,AN-ih-mus,noun,hostility or ill feeling toward someone; strong motivation,There was obvious animus between the two rivals every time they shared the stage.
10,aspiration,as-puh-RAY-shun,noun,a hope or ambition of achieving something; the act of drawing breath,Her aspiration to become a surgeon drove every decision she made in school.
10,diaphanous,dy-AF-uh-nus,adjective,"light, delicate, and translucent",The bride wore a diaphanous veil that shimmered in the afternoon sunlight.
10,dispirited,dih-SPIR-ih-tid,adjective,having lost hope or enthusiasm; dejected,The team looked dispirited after losing their sixth game in a row.
10,epiphany,ih-PIF-uh-nee,noun,a moment of sudden and profound insight; the Christian feast of January 6,Standing on the mountain at dawn she had an epiphany about what she truly wanted from life.
10,equanimity,ee-kwuh-NIM-ih-tee,noun,mental calmness especially in a difficult situation,He faced the devastating diagnosis with remarkable equanimity and even managed to comfort others.
10,ether,EE-ther,noun,a highly flammable liquid used as an anesthetic; the clear sky; a supposed medium for electromagnetic waves,In early surgery ether was administered to render patients unconscious before procedures.
10,ethereal,ih-THEER-ee-ul,adjective,extremely delicate and light; too delicate for this world; heavenly,The chorus's ethereal harmonies drifted through the cathedral and seemed to fill every corner.
10,hyperbole,hy-PUR-buh-lee,noun,exaggerated statements not meant to be taken literally,Saying 'I've told you a million times' is a classic hyperbole used in everyday speech.
10,hyperborean,hy-per-BOR-ee-un,adjective/noun,relating to the extreme north; a person from the far north,The expedition braved hyperborean conditions — temperatures below minus forty — for three weeks.
10,hyperventilation,hy-per-ven-tih-LAY-shun,noun,abnormally rapid or deep breathing leading to a decrease in carbon dioxide,Hyperventilation can cause dizziness and tingling sensations in the hands and face.
10,phantasm,FAN-taz-um,noun,an illusion; a ghost or apparition,In his fever the patient saw phantasms moving along the hospital walls.
10,pusillanimous,pyoo-suh-LAN-ih-mus,adjective,showing a lack of courage; timid; faint-hearted,The pusillanimous response of the leadership only emboldened those who opposed them.
10,sycophant,SIK-oh-fant,noun,a person who acts obsequiously toward someone in authority to gain advantage; a flatterer,"Surrounded by sycophants, the executive never heard honest feedback on her decisions."
10,vent,vent,noun/verb,"an opening for air, gas, or liquid to pass through; to give free expression to feelings",She needed to vent her frustration before she could think about the problem calmly.
11,caustic,KAW-stik,adjective,able to burn; sharply critical and sarcastic,Her caustic wit could strip the pretension off any situation in a single sentence.
11,cauterize,KAW-ter-yz,verb,to burn the skin to stop bleeding or prevent infection,The surgeon used a heated instrument to cauterize the wound and seal the blood vessels.
11,conflagration,kon-fluh-GRAY-shun,noun,"a large, destructive fire",The conflagration that began in the warehouse spread to three city blocks before it was contained.
11,effervescent,ef-er-VES-ent,adjective,giving off bubbles; enthusiastic and lively in manner,The effervescent host greeted every guest as though they were the most important person in the room.
11,fervid,FUR-vid,adjective,intensely enthusiastic or passionate; burning hot,His fervid advocacy for prison reform inspired hundreds of volunteers to join the cause.
11,flagrant,FLAY-grunt,adjective,conspicuously or obviously offensive; shockingly bad,The referee called a flagrant foul and ejected the player from the game.
11,flamboyant,flam-BOY-unt,adjective,tending to attract attention because of exuberance; very showy,The flamboyant designer arrived at the party wearing a full-length golden cape.
11,incendiary,in-SEN-dee-er-ee,adjective/noun,designed to cause fires; tending to inflame passions; a device for starting fires,The politician's incendiary speech widened the divisions within an already fractured community.
11,incense,IN-sens / in-SENS,noun/verb,a substance producing fragrant smoke when burned; to make very angry,The unfair verdict incensed the protesters who had gathered outside the courthouse.
11,inflammatory,in-FLAM-uh-tor-ee,adjective,tending to arouse anger or hostility; relating to inflammation,The article was criticized for its inflammatory language targeting vulnerable communities.
11,pyre,PYR,noun,a heap of combustible material especially for burning a dead body,The hero's body was placed on a funeral pyre on the shore of the sea as tradition required.
11,pyromania,py-roh-MAY-nee-uh,noun,an obsessive desire to set fire to things,The serial arsonist was diagnosed with pyromania and ordered into psychiatric treatment.
11,pyrotechnics,py-roh-TEK-niks,noun,the art of making fireworks; a brilliant display of skill,The concert's grand finale featured pyrotechnics that lit up the entire arena.
11,scintilla,sin-TIL-uh,noun,a tiny trace or spark of a quality or feeling,The prosecutor warned that there was not a scintilla of evidence to support the defense's claim.
11,scintillate,SIN-tih-layt,verb,to emit sparks; to be brilliantly clever or lively,The conversation scintillated as every guest tried to outdo the others with wit and stories.
12,confluence,KON-floo-ens,noun,the junction of two rivers; a coming together of different things,The city grew up at the confluence of two major trade routes.
12,cormorant,KOR-mer-unt,noun,a large diving seabird with a long neck and hooked bill,A lone cormorant perched on the dock post drying its wings in the morning sun.
12,dehydrate,dee-HY-drayt,verb,to lose or remove water from something; to make or become dry,Athletes are warned to dehydrate quickly in extreme heat and must drink constantly.
12,effluent,EF-loo-ent,noun/adjective,liquid waste discharged into a river or sea; flowing out,The factory was fined for discharging effluent into the river without a permit.
12,flux,fluks,noun,continuous change; the flow of a substance,"The fashion industry is in constant flux, with trends shifting from season to season."
12,hydrology,hy-DROL-oh-jee,noun,the branch of science concerned with the properties and distribution of water,"Civil engineers rely on hydrology to plan reservoirs, dams, and drainage systems."
12,inundate,IN-un-dayt,verb,to overwhelm with things to be dealt with; to flood,The customer service line was inundated with calls after the product recall was announced.
12,marinade,mar-ih-NAYD,noun/verb,a seasoned liquid in which food is soaked; to soak in such a liquid,"She left the chicken to marinade overnight in lemon juice, garlic, and herbs."
12,nauseate,NAW-zee-ayt,verb,to cause to feel sick; to fill with disgust,The smell of the industrial chemicals was enough to nauseate anyone who passed nearby.
12,nave,nayv,noun,the central part of a church building; the hub of a wheel,Rows of wooden pews stretched down the length of the cathedral's nave.
12,pontiff,PON-tif,noun,the Pope; a bishop or head priest,The new pontiff delivered his first address to the crowds gathered in the square below.
12,pontificate,pon-TIF-ih-kayt,verb,to give one's opinions in a pompous and dogmatic way; to serve as a pontiff,He would pontificate for hours on any subject whether or not he actually knew anything about it.
12,redound,rih-DOWND,verb,to have a good or bad effect on a person's reputation; to contribute to,Her generosity would redound to her credit long after the details had been forgotten.
12,redundant,rih-DUN-dent,adjective,no longer needed or useful; using more words than necessary; repetitive,After the merger several positions were declared redundant and workers were let go.
12,undulate,UN-dyuh-layt,verb,to move with a smooth wavelike motion; to give a wavelike form to,The wheat field undulated gently in the afternoon breeze like a living gold carpet.
13,apostle,uh-POS-ul,noun,a vigorous early supporter of an idea; any of the twelve disciples of Jesus,"She became an apostle of renewable energy, speaking wherever audiences would listen."
13,asterisk,AS-ter-isk,noun,a symbol (*) used in text to mark a footnote or omission,An asterisk next to the record indicated that it had been set under unusual conditions.
13,astral,AS-trul,adjective,relating to the stars; of or resembling the stars,The astral map plotted the positions of every major constellation visible from the northern hemisphere.
13,constellation,kon-stuh-LAY-shun,noun,a group of stars forming a pattern; a group of related things,Orion is perhaps the most recognized constellation in the winter night sky.
13,cosmology,koz-MOL-oh-jee,noun,the science of the origin and development of the universe,Modern cosmology was revolutionized by the discovery of the Big Bang theory.
13,cosmopolite,koz-MOP-oh-lyt,noun,a person at home in many countries; a citizen of the world,Having lived on four continents she was a true cosmopolite comfortable anywhere on earth.
13,epistolary,ih-PIS-tuh-ler-ee,adjective,relating to the writing of letters; (of a novel) written in the form of letters,The eighteenth-century epistolary novel used an exchange of letters to tell its story.
13,inordinate,in-OR-dih-nit,adjective,unusually or disproportionately large; excessive,She spent an inordinate amount of time revising the opening paragraph of her essay.
13,insubordinate,in-sub-OR-dih-nit,adjective,defiant of authority; disobedient,The insubordinate private was put on report for refusing to follow the sergeant's order.
13,ordain,or-DAYN,verb,to make someone a priest or minister; to order officially; to destine to a role,The church will ordain six new priests at the ceremony in the cathedral on Sunday.
13,ordinance,OR-dih-nens,noun,a piece of legislation by a local authority; an authoritative order,The city passed an ordinance banning single-use plastic bags from all retail stores.
13,rectify,REK-tih-fy,verb,to put right; to correct,The company acted quickly to rectify the billing error and issue full refunds.
13,rectitude,REK-tih-tood,noun,morally correct behavior; righteousness,Her rectitude in every professional and personal matter earned her universal respect.
13,stellar,STEL-er,adjective,relating to stars; featuring stars; outstandingly good,The young actor's stellar debut convinced directors to cast her in the lead role.
13,stolid,STOL-id,adjective,"calm, dependable, and showing little emotion",The stolid detective listened to every witness without betraying any reaction.
14,aspersion,uh-SPUR-zhun,noun,an attack on the reputation or integrity of someone; slander,She took great offense at the aspersions cast on her professional judgment.
14,disperse,dih-SPURS,verb,to distribute or spread over a wide area; to break up and scatter,Police used loud speakers to disperse the crowd that had gathered in the square.
14,immutable,ih-MYOO-tuh-bul,adjective,unchanging over time; not subject to change,The laws of mathematics are immutable — they hold true regardless of time or place.
14,imperturbable,im-per-TUR-buh-bul,adjective,unable to be upset or excited; calm and steady,The surgeon's imperturbable manner reassured even the most anxious patients.
14,outré,oo-TRAY,adjective,bizarre or unusually unconventional in behavior or appearance,Her outré fashion choices always generated headlines on the red carpet.
14,penultimate,pih-NUL-tih-mit,adjective,second to last,The penultimate chapter contained the crucial plot twist we had been waiting for.
14,permutation,pur-myoo-TAY-shun,noun,each of several arrangements of a set; a combination; a change or alteration,The chef tried every permutation of the four ingredients before hitting on the perfect dish.
14,perturb,per-TURB,verb,to make someone anxious or unsettled; to disturb the normal course of,The unexpected test result perturbed the research team and sent them back to the data.
14,temerarious,tem-uh-RAIR-ee-us,adjective,recklessly or presumptuously daring,The temerarious pilot attempted maneuvers that no one else dared try in those conditions.
14,temerity,tuh-MER-ih-tee,noun,excessive confidence or boldness; audacity,She had the temerity to contradict the chairman in front of the entire board.
14,temper,TEM-per,noun/verb,a person's state of mind; a tendency to anger; to moderate or soften something,Steel must be tempered by heating and rapid cooling to achieve the right hardness.
14,temperance,TEM-per-ens,noun,moderation especially in eating and drinking; abstinence,The movement advocated temperance as a solution to the social problems caused by alcohol.
14,transmute,tranz-MYOOT,verb,"to change in form, nature, or substance",Alchemists spent centuries trying to transmute lead into gold through chemical processes.
14,turbid,TUR-bid,adjective,"cloudy, opaque, or thick with suspended matter; confused and muddled",The turbid waters of the flooded river made navigation extremely dangerous.
14,ultimatum,ul-tih-MAY-tum,noun,a final demand with threatened consequences if not met,The union issued an ultimatum: meet their wage demands by Friday or face a strike.
15,anachronism,uh-NAK-ruh-niz-um,noun,a thing belonging to a time period other than that in which it exists; something outdated,A horse-drawn carriage in modern Manhattan would be a charming anachronism.
15,annals,AN-ulz,noun,a record of events written year by year; historical records,The discovery was described as the most important in the annals of marine biology.
15,biennial,by-EN-ee-ul,adjective/noun,happening every two years; a plant that lives for two years,The biennial festival draws performers and visitors from across the region.
