lesson,word,pronunciation,partOfSpeech,definition,example
3,exhilarate,ig-ZIL-uh-rayt,verb,to make someone feel very happy and full of energy,The roller coaster ride seemed to exhilarate even the most nervous riders.
3,exonerate,ig-ZON-uh-rayt,verb,to officially absolve from blame or criminal charge,New evidence helped exonerate the man who had been wrongly convicted.
3,exorbitant,ig-ZOR-bih-tent,adjective,unreasonably high; exceeding what is fair,The restaurant's exorbitant prices shocked the tourists.
3,exposition,eks-puh-ZIH-shun,noun,a comprehensive description and explanation; the part of a story that introduces setting and characters,The teacher praised the student's clear and detailed exposition of the problem.
3,expound,ik-SPOWND,verb,to present and explain a theory or idea in detail,The professor spent an hour expounding on the causes of the war.
3,extraneous,ik-STRAY-nee-us,adjective,irrelevant or unrelated to the subject,The editor removed all extraneous details from the article to sharpen the focus.
3,impose,im-POHZ,verb,to put something in place by force; to take unfair advantage,It would be rude to impose on your hosts by staying too long.
3,imposter,im-POS-ter,noun,a person who pretends to be someone else in order to deceive,The imposter used a false identity to gain entry to the building.
3,proponent,proh-POH-nent,noun,a person who advocates for something,She was a vocal proponent of renewable energy sources.
4,extraterrestrial,eks-truh-tuh-RES-tree-ul,adjective/noun,originating from outside Earth; a being from outer space,Scientists search for signs of extraterrestrial life in distant galaxies.
4,extrovert,EKS-troh-vurt,noun,an outgoing and socially confident person,As an extrovert he thrived in large social gatherings.
4,mediate,MEE-dee-ayt,verb,to intervene to help resolve a dispute,A neutral third party was brought in to mediate the labor dispute.
4,mediocrity,mee-dee-OK-rih-tee,noun,the quality of being only moderately good; ordinariness,He refused to settle for mediocrity and always pushed for excellence.
4,medium,MEE-dee-um,noun/adjective,the middle point or degree; a means of communication,Television became the dominant medium for news in the 20th century.
4,non sequitur,non-SEK-wih-ter,noun,a statement that does not follow logically from what preceded it,His sudden comment about the weather was a complete non sequitur in the middle of the debate.
4,obsequious,ob-SEE-kwee-us,adjective,excessively eager to please or obey; fawning,"The obsequious waiter hovered constantly, refilling water glasses after every sip."
4,sequester,sih-KWES-ter,verb,to isolate or hide away; to take legal possession of assets,The jury was sequestered to prevent outside influence during the high-profile trial.
4,subsequent,SUB-sih-kwent,adjective,coming after something in time or order,The initial storm caused flooding and subsequent power outages across the region.
5,abstain,ab-STAYN,verb,to refrain voluntarily from doing something; to choose not to vote,Members who had a conflict of interest were asked to abstain from voting.
5,coherent,koh-HEER-ent,adjective,logical and consistent; forming a unified whole,Her argument was coherent and well-supported by evidence.
5,colloquial,kuh-LOH-kwee-ul,adjective,used in ordinary conversation rather than formal speech,Using colloquial expressions in a formal essay made the writing seem unprofessional.
5,commiserate,kuh-MIZ-uh-rayt,verb,to express sympathy for someone in sorrow or disappointment,Friends gathered to commiserate with him after his team's playoff loss.
5,commodious,kuh-MOH-dee-us,adjective,roomy and comfortable,The house had a commodious living room perfect for hosting gatherings.
5,condone,kun-DOHN,verb,to accept or allow behavior considered wrong,The school did not condone bullying of any kind.
5,contrite,kun-TRYT,adjective,feeling genuine remorse for wrongdoing,The contrite student apologized sincerely for cheating on the exam.
5,impertinent,im-PUR-tih-nent,adjective,not respectful; not relevant to the matter at hand,His impertinent remarks during the meeting offended several colleagues.
5,pertinacious,pur-tih-NAY-shus,adjective,stubbornly persistent in a course of action,Her pertinacious effort to master the piano finally paid off after years of practice.
5,tenacity,tuh-NAS-ih-tee,noun,the quality of being persistent and determined,The athlete's tenacity carried her through the grueling final miles of the marathon.
6,adjunct,AJ-ungkt,noun/adjective,something added to another thing but not essential; supplementary,The writing workshop was an adjunct to the main literature course.
6,aptitude,AP-tih-tood,noun,a natural ability to learn or excel at something,She showed a remarkable aptitude for mathematics at an early age.
6,astringent,uh-STRIN-jent,adjective/noun,harsh or severe; a substance that tightens body tissues,His astringent criticism left little room for encouragement.
6,conjugate,KON-juh-gayt,verb,to give the different forms of a verb; to combine,Students must learn to conjugate irregular verbs in Spanish.
6,injunction,in-JUNK-shun,noun,an authoritative warning or order; a court order prohibiting an action,The court issued an injunction preventing the company from dumping waste in the river.
6,inept,in-EPT,adjective,having no skill; clumsy; inappropriate,The inept chef managed to burn even the simplest dishes.
6,juncture,JUNGK-cher,noun,a point in time especially a critical one; a place where things join,At this juncture it is essential that we make the right decision.
6,strait,strayt,noun/adjective,a narrow body of water connecting two seas; strict or difficult,The ship navigated carefully through the narrow strait.
6,stringent,STRIN-jent,adjective,extremely strict and precise,The organization maintained stringent safety standards in all its facilities.
6,subjugate,SUB-juh-gayt,verb,to bring under domination or control,Historically powerful empires tried to subjugate neighboring peoples.
7,abhor,ab-HOR,verb,to regard with extreme disgust and hatred,She abhorred any act of cruelty toward animals.
7,abound,uh-BOWND,verb,to exist in large numbers; to be richly supplied,Wildlife abounds in the national park along the river.
7,abrasive,uh-BRAY-siv,adjective/noun,tending to scratch or wear down; blunt and unfeeling in manner,His abrasive personality made it hard to maintain close friendships.
7,abscond,ab-SKOND,verb,to leave suddenly and secretly in order to escape,The suspect absconded before police arrived at his apartment.
7,abstemious,ab-STEE-mee-us,adjective,not self-indulgent; moderate in eating and drinking,The abstemious monk ate only a simple meal of bread and water each day.
7,ascertain,as-er-TAYN,verb,to find out for certain; to discover with confidence,Investigators worked to ascertain the exact cause of the fire.
7,discern,dih-SURN,verb,to recognize or perceive clearly; to distinguish,She could discern a faint outline through the fog.
7,discreet,dih-SKREET,adjective,careful and prudent in speech or behavior,Please be discreet about the surprise party — do not tell anyone.
7,infraction,in-FRAK-shun,noun,a violation of a law or agreement,Parking in a no-parking zone is a minor traffic infraction.
7,infringe,in-FRINJ,verb,to actively break the terms of a law or right,Using copyrighted music without permission can infringe on an artist's rights.
7,suffrage,SUF-rij,noun,the right to vote in political elections,The women's suffrage movement fought for decades to win women the vote.
8,absolve,ab-ZOLV,verb,to declare someone free from blame or obligation,The judge absolved the defendant of all charges due to insufficient evidence.
8,analyze,AN-uh-lyz,verb,to examine in detail in order to explain and interpret,The scientist began to analyze the water samples from the river.
8,catalyst,KAT-uh-list,noun,a substance that speeds up a chemical reaction; a person or event that causes change,The speech acted as a catalyst for widespread social reform.
8,concise,kun-SYS,adjective,giving much information clearly and briefly,His concise explanation made a difficult concept easy to understand.
8,herbicide,HUR-bih-syd,noun,a chemical substance used to destroy unwanted plants or weeds,Farmers sometimes use herbicide to control weeds in their fields.
8,precise,prih-SYS,adjective,"exact, accurate, and careful about details",The surgeon's precise movements were essential to the success of the operation.
8,resolute,REZ-uh-loot,adjective,firmly determined; unwavering in purpose,The resolute explorer pressed on despite harsh weather conditions.
8,resolve,rih-ZOLV,verb/noun,to settle a problem or dispute; firm determination,With great resolve she committed to finishing the project on time.
8,superfluous,soo-PUR-floo-us,adjective,unnecessary; more than what is needed,The editor removed all superfluous adjectives to sharpen the prose.
8,superlative,soo-PUR-luh-tiv,adjective/noun,of the highest quality; the highest or extreme degree of something,Her performance was described by critics as simply superlative.
9,improvise,IM-pruh-vyz,verb,to create or perform something without preparation,The jazz musician was known to improvise brilliantly during live concerts.
9,ostensible,ah-STEN-sih-bul,adjective,stated or appearing to be true but not necessarily so,Her ostensible reason for leaving early was a headache.
9,ostentatious,os-ten-TAY-shus,adjective,characterized by a vulgar display of wealth or knowledge to impress others,The ostentatious mansion featured gold-plated fixtures in every room.
9,refute,rih-FYOOT,verb,to prove a statement or theory to be wrong,The lawyer worked hard to refute the prosecution's evidence.
9,reiterate,ree-IT-uh-rayt,verb,to say or do something again for emphasis,She had to reiterate her instructions because the student had not been listening.
9,repartee,rep-er-TEE,noun,quick witty remarks exchanged in conversation,His sparkling repartee made him the most entertaining guest at every party.
9,repertoire,REP-er-twahr,noun,the body of works known or regularly performed by a performer,The pianist's repertoire included compositions from three centuries of music.
9,repose,rih-POHZ,noun/verb,a state of rest or calm; to lie at rest,The cat found its repose in the sunniest corner of the room.
9,reticent,RET-ih-sent,adjective,not revealing one's thoughts easily; reserved in speech,The reticent witness refused to answer several questions from the prosecutor.
9,visionary,VIZH-uh-ner-ee,noun/adjective,a person with original ideas about the future; showing foresight,The visionary architect designed buildings that looked decades ahead of their time.
10,auspicious,aw-SPISH-us,adjective,presenting favorable circumstances; giving a good omen,The sunny weather felt like an auspicious start to their road trip.
10,introspection,in-troh-SPEK-shun,noun,the examination of one's own mental state and feelings,After the argument he spent hours in quiet introspection.
10,retrospect,RET-roh-spekt,noun,a survey or review of past events or situations,In retrospect she realized how foolish the decision had been.
10,specimen,SPES-ih-men,noun,an individual animal or plant used as an example; a sample for study,The biologist collected a specimen of each insect found in the meadow.
10,specter,SPEK-ter,noun,a ghost; something that haunts or disturbs the mind,The specter of failure haunted him throughout the competition.
10,spectrum,SPEK-trum,noun,a band of colors or a range of values arranged in order,The debate touched on issues across the entire political spectrum.
10,speculate,SPEK-yuh-layt,verb,to form a theory without firm evidence; to invest in risky ventures,Reporters began to speculate about the cause of the plane's disappearance.
10,surveillance,ser-VAY-lens,noun,close observation especially of a suspected person or group,Security cameras provide round-the-clock surveillance of the building.
10,vigil,VIJ-ul,noun,a period of staying awake to keep watch or pray,Villagers held an overnight vigil outside the hospital waiting for news.
10,vigilant,VIJ-uh-lent,adjective,keeping careful watch for possible danger or difficulty,Hikers must remain vigilant for sudden changes in mountain weather.
11,ad hoc,ad-HOK,adjective/adverb,created or done for a particular purpose without prior planning,An ad hoc committee was formed to deal with the unexpected crisis.
11,admonish,ad-MON-ish,verb,to warn or reprimand firmly but kindly,The coach admonished the players for arriving late to practice.
11,advocate,AD-vuh-kayt,verb/noun,to publicly recommend a cause; a person who publicly supports a cause,She became a strong advocate for children's rights after her own experience.
11,assimilate,uh-SIM-ih-layt,verb,to take in and understand; to absorb into a culture,It took the new immigrants several years to assimilate into their adopted country.
11,evoke,ih-VOHK,verb,"to bring a feeling, memory, or image to mind",The old photograph evoked memories of long summer days at the beach.
11,olfactory,ol-FAK-tor-ee,adjective,relating to the sense of smell,The olfactory system is remarkably sensitive and closely tied to memory.
11,provocative,pruh-VOK-uh-tiv,adjective,causing a strong reaction; intended to arouse interest or controversy,The author's provocative essay sparked a national debate.
11,redolent,RED-uh-lent,adjective,strongly suggestive of; having a strong smell of something,The attic was redolent of old books and cedar chests.
11,resonate,REZ-uh-nayt,verb,to produce or evoke a strong response; to produce resonance,Her speech resonated with the audience long after the event ended.
11,sonic,SON-ik,adjective,relating to sound waves or the speed of sound,The sonic boom shook the windows as the jet passed overhead.
11,vociferous,voh-SIF-er-us,adjective,making or characterized by a loud and vehement outcry,Vociferous protesters gathered outside the government building.
12,assent,uh-SENT,noun/verb,agreement; to agree or consent,The committee gave its assent to the proposed budget changes.
12,contiguous,kun-TIG-yoo-us,adjective,sharing a common border; touching; next to each other,The two contiguous properties were separated by a low stone wall.
12,dissent,dih-SENT,noun/verb,disagreement with a prevailing opinion; to disagree formally,One juror's dissent prevented the court from reaching a unanimous verdict.
12,presentiment,prih-ZEN-tih-ment,noun,a feeling that something unpleasant is about to happen; a premonition,She had a strange presentiment that the trip would end badly.
12,sensuous,SEN-shoo-us,adjective,relating to or affecting the senses in a pleasing way,The painting had a sensuous quality that drew viewers in immediately.
12,sentinel,SEN-tih-nel,noun,a soldier or guard standing watch,The lone sentinel stood motionless at the palace gate all through the night.
12,tactile,TAK-tyl,adjective,relating to the sense of touch,Pottery is a highly tactile craft that requires sensitive hands.
12,tangent,TAN-jent,noun/adjective,a line that touches a curve at one point; a completely different subject,He went off on a tangent about medieval history during the science class.
12,tangible,TAN-jih-bul,adjective,perceptible by touch; clear and definite; real,After months of effort they finally saw tangible results from their work.
13,assuage,uh-SWAYJ,verb,to make an unpleasant feeling less intense,She tried to assuage her friend's fears with calming words.
13,festoon,feh-STOON,verb/noun,to decorate with ribbons or flowers; a chain of decorations,The hall was festooned with colorful banners and streamers.
13,fete,fayt,noun/verb,a celebration or festival; to honor with a celebration,The town held a grand fete to honor the returning hero.
13,jeopardy,JEP-er-dee,noun,"danger of harm, loss, or failure",Reckless spending put the entire project in jeopardy.
13,jocular,JOK-yuh-ler,adjective,fond of joking; characterized by humor,His jocular tone helped lighten the mood during a tense meeting.
13,procrastinate,proh-KRAS-tih-nayt,verb,to delay doing something that should be done,She tended to procrastinate on assignments until the last possible minute.
13,prodigal,PROD-ih-gul,adjective/noun,wasteful and extravagant; a person who spends recklessly,His prodigal lifestyle drained his entire inheritance within two years.
13,prodigy,PROD-ih-jee,noun,a person with exceptional talent; a highly talented young person,The young chess prodigy defeated every adult opponent in the tournament.
13,profane,proh-FAYN,adjective/verb,not respectful of religious practice; to treat something sacred with disrespect,Using profane language in the ceremony offended many in attendance.
13,profuse,proh-FYOOS,adjective,produced freely and in large amounts; generous,She offered profuse apologies after accidentally knocking over the display.
13,suave,swahv,adjective,"charming, confident, and sophisticated in manner",The suave diplomat knew exactly what to say to smooth over the situation.
14,condole,kun-DOHL,verb,to express sympathy; to grieve with someone who has suffered a loss,Friends and family came to condole with the bereaved family.
14,doleful,DOHL-ful,adjective,expressing sorrow; mournful,The dog gave a doleful whine when its owner left for work.
14,irascible,ih-RAS-ih-bul,adjective,having or showing a tendency to be easily angered,The irascible professor would snap at students who came late to class.
14,irate,eye-RAYT,adjective,feeling or characterized by great anger,The irate customer demanded to speak with the manager immediately.
14,ire,yr,noun,anger; intense displeasure,He could barely contain his ire when he discovered the mistake.
14,malevolent,muh-LEV-uh-lent,adjective,having or showing a wish to do evil to others,The antagonist in the story was driven by a malevolent desire for revenge.
14,volition,voh-LISH-un,noun,the faculty or power of using one's will; a conscious choice,She chose to leave the company entirely of her own volition.
14,zeal,zeel,noun,great energy or enthusiasm for a cause or objective,The young teacher approached every lesson with infectious zeal.
14,zealot,ZEL-ut,noun,a person who is fanatically devoted to a cause,The political zealot refused to consider any viewpoint other than his own.
15,circuitous,ser-KYOO-ih-tus,adjective,longer than the most direct way; roundabout,The circuitous route through the mountains added hours to their journey.
15,circumference,ser-KUM-fer-ens,noun,the boundary line of a circle; the distance around something circular,"The circumference of the Earth at the equator is about 40,000 kilometers."
15,circumspect,SUR-kum-spekt,adjective,wary and unwilling to take risks; cautious and careful,A circumspect investor researches thoroughly before committing funds.
15,configuration,kun-fig-yuh-RAY-shun,noun,an arrangement of parts; the shape or outline of something,The configuration of the new office space improved collaboration among teams.
15,cyclic,SY-klik,adjective,occurring in cycles; regularly repeated,The cyclic pattern of the seasons governs much of agricultural life.
15,encyclopedic,en-sy-kloh-PEE-dik,adjective,covering a wide range of subjects in great detail; comprehensive,His encyclopedic knowledge of history impressed even his professors.
15,figurative,FIG-yuh-ruh-tiv,adjective,used in a way that is not literal; using metaphors or figures of speech,'He is drowning in homework' is a figurative expression.
15,orb,orb,noun,a spherical object; a globe,The moon appeared as a pale orb in the cloudless night sky.
15,orbit,OR-bit,noun/verb,the curved path of a celestial body around another; to travel in a circle around,Satellites orbit the Earth at varying altitudes.
16,cavernous,KAV-er-nus,adjective,like a cavern; vast and dark or hollow,The cavernous warehouse echoed with the sound of machinery.
16,concave,kon-KAYV,adjective,having a surface that curves inward like the inside of a bowl,A concave mirror focuses light to a single point.
16,effigy,EF-ih-jee,noun,a model or dummy representing a hated person; a sculpture of a person,Angry protesters burned an effigy of the reviled politician in the town square.
16,excavate,EKS-kuh-vayt,verb,to dig out material from the ground; to uncover by digging,Archaeologists excavated the ancient ruins buried beneath the desert sand.
16,feign,fayn,verb,to pretend to be affected by a feeling or condition,She tried to feign indifference but her excitement was obvious.
16,feint,faynt,noun/verb,a deceptive or pretended move to distract an opponent; to make such a move,The boxer used a feint to trick his opponent before landing the real punch.
16,ideology,eye-dee-OL-uh-jee,noun,a system of ideas forming the basis of an economic or political theory,The two parties were separated not just by policy but by deep ideology.
16,idyll,EYE-dul,noun,an extremely happy or peaceful period; a short poem describing rural life,The summer they spent on the farm was a perfect rural idyll.
16,rote,roht,noun/adjective,learning by mechanical repetition without deep understanding,He memorized the multiplication tables by rote until they were automatic.
16,rotund,roh-TUND,adjective,large and round in shape; plump,A rotund figure in a red suit is one familiar image of Santa Claus.
16,rotunda,roh-TUN-duh,noun,a round building or room with a dome,The Capitol's famous rotunda is one of the most photographed spaces in Washington D.C.
